,Company,Model,Year,Owners,Price,City,Kilometer,Updated dates
314,Yamaha,MT 15,2019,1,"1,20,000 ",Chennai,"35,000",03 March 2023
315,Royal,Enfield Hunter,2022,1,"2,00,000 ",Sharif,"5,000",03 March 2023
316,Jawa,42 Dual,2021,1,"1,50,000 ",Sitamarhi,"6,600",03 March 2023
317,Yamaha,YZF R15,2019,2,"1,15,000 ",Rajkot,"16,000",03 March 2023
318,KTM,390 Duke,2016,1,"1,50,000 ",Kalyan,"5,500",03 March 2023
319,Hero,Splendor Plus,2019,1,"55,000 ",Delhi,"15,000",03 March 2023
320,Bajaj,Pulsar 135,2015,1,"40,000 ",Mumbai,"20,000",03 March 2023
321,Yamaha,MT 15,2019,1,"1,45,000 ",Bangalore,"35,100",03 March 2023
322,Honda,Dream Neo,2016,1,"25,000 ",Bhuj,"48,999",03 March 2023
323,TVS,Ntorq 125,2022,1,"90,000 ",Dehradun,"50,150",03 March 2023
324,Suzuki,Access 125,2016,1,"25,000 ",Delhi,"25,000",03 March 2023
325,Hero,Glamour 125,2017,1,"70,000 ",Nadia,"27,000",03 March 2023
326,Yamaha,Fascino 125,2020,1,"55,000 ",Tanuku,"20,000",03 March 2023
327,Royal,Enfield Thunderbird,2013,1,"1,20,000 ",Raipur,"62,000",03 March 2023
328,Honda,Dream Yuga,2016,2,"45,000 ",Ahmednagar,"30,000",03 March 2023
329,Suzuki,Access 125,2019,1,"40,000 ",Mumbai,"30,000",03 March 2023
330,Hero,Honda Splendor,2009,1,"17,000 ",Karnal,"51,000",03 March 2023
331,TVS,Ntorq 125,2019,1,"55,000 ",Pune,"25,000",03 March 2023
332,Yamaha,FZ25 Standard,2017,2,"65,000 ",Tiruppur,"51,500",03 March 2023
333,Honda,Dream Neo,2015,1,"23,000 ",Bhuj,"48,999",03 March 2023
334,Honda,CBF Stunner,2012,2,"30,000 ",Rajhara,"32,000",03 March 2023
335,Jawa,Perak Standard,2020,1,"1,90,000 ",Jamnagar,"7,100",03 March 2023
336,Bajaj,Pulsar 150,2019,2,"66,000 ",Delhi,"10,882",02 March 2023
337,Hero,Super Splendor,2009,1,"25,000 ",Guwahati,"24,515",02 March 2023
338,Hero,Honda Hunk,2010,2,"18,000 ",Rewari,"35,000",02 March 2023
339,Bajaj,Pulsar 220,2016,1,"47,000 ",Mysore,"28,000",02 March 2023
340,Hero,Honda CD100SS,1998,3,"27,000 ",Bhilwara,"2,300",02 March 2023
341,Royal,Enfield Bullet,2008,3,"1,10,000 ",Kolkata,"45,000",02 March 2023
342,TVS,Apache RTR,2010,1,"30,000 ",Bangalore,"47,000",02 March 2023
343,Hero,o Xtreme,2013,1,"25,000 ",Noida,"22,000",02 March 2023
344,Royal,Enfield Classic,2021,1,"1,70,000 ",Delhi,"19,000",02 March 2023
345,Bajaj,Avenger Street,2021,1,"1,00,000 ",Sidhi,"5,063",02 March 2023
346,Bajaj,Pulsar 150,2022,1,"1,25,000 ",Begusarai,"10,805",02 March 2023
347,Suzuki,GS150R Standard,2009,1,"30,000 ",Pune,"45,000",02 March 2023
348,Honda,Shine Drum,2006,1,"30,000 ",Bareli,"30,090",02 March 2023
349,Bajaj,Discover 150,2011,1,"45,000 ",Bangalore,"70,000",02 March 2023
350,Bajaj,Pulsar NS200,2014,1,"50,000 ",Delhi,"50,000",02 March 2023
351,Suzuki,Access 125,2011,1,"25,000 ",Thane,"8,000",02 March 2023
352,Benling,Aura Standard,2022,1,"80,000 ",Hyderabad,"15,000",02 March 2023
353,Yamaha,R15 V4,2022,1,"2,00,000 ",Nandyal,"8,650",02 March 2023
354,Hero,Honda Karizma,2010,2,"45,000 ",Nashik,"50,000",02 March 2023
355,Hero,Honda Splendor,2009,1,"13,000 ",Delhi,"70,000",02 March 2023
356,Yamaha,Ray Z,2013,1,"25,000 ",Bangalore,"60,000",02 March 2023
357,Yamaha,FZ S,2013,1,"35,000 ",Kolkata,"60,000",02 March 2023
358,Yamaha,FZ16 Standard,2014,1,"60,000 ",Nashik,"15,600",02 March 2023
359,Honda,Shine Disc,2022,1,"93,000 ",Hyderabad,"3,800",02 March 2023
360,Honda,CB Unicorn,2015,1,"60,000 ",Surat,"51,000",02 March 2023
361,Yamaha,FZ V,2017,1,"50,000 ",Ulhasnagar,"35,000",02 March 2023
362,Honda,Activa 5G,2019,1,"50,000 ",Perumbavoor,"30,000",02 March 2023
363,Honda,Activa i,2016,1,"35,000 ",Delhi,"9,000",02 March 2023
364,Hero,Honda Super,2011,2,"40,000 ",Bangalore,"35,000",02 March 2023
365,Hero,Duet VX,2016,1,"30,000 ",Delhi,"34,000",02 March 2023
366,Royal,Enfield Bullet,2015,1,"1,30,000 ",Hyderabad,"32,000",01 March 2023
367,TVS,Jupiter Standard,2017,1,"42,000 ",Thane,"13,000",01 March 2023
368,Keeway,SR125 Standard,2022,1,"1,25,000 ",Visakhapatnam,400,01 March 2023
369,Yamaha,YZF R15,2021,1,"1,40,000 ",Agra,"9,000",01 March 2023
370,Royal,Enfield Electra,2007,2,"50,000 ",Sahibabad,"35,000",01 March 2023
371,Honda,a Activa,2013,1,"25,000 ",Mumbai,"9,226",01 March 2023
372,Royal,Enfield Thunderbird,2017,1,"1,00,000 ",Pune,"45,000",01 March 2023
373,Hero,Passion Pro,2020,1,"50,000 ",Faridabad,"11,500",01 March 2023
374,KTM,RC 200,2022,1,"2,30,000 ",Tumkur,"5,500",01 March 2023
375,Honda,SP 125,2022,1,"94,000 ",Hyderabad,"5,600",01 March 2023
376,Husqvarna,Vitpilen 250,2020,1,"1,50,000 ",Howrah,"20,000",01 March 2023
377,Bajaj,Pulsar 150,2019,1,"60,000 ",Surat,"32,000",01 March 2023
378,Hero,Xpulse 200,2022,1,"1,35,000 ",Mumbai,"5,350",01 March 2023
379,Bajaj,Dominar 400,2022,1,"2,70,000 ",Varanasi,"2,500",01 March 2023
380,Royal,Enfield Hunter,2023,1,"1,65,000 ",Delhi,"1,000",01 March 2023
381,KTM,125 Duke,2021,1,"1,60,000 ",Pune,"8,000",01 March 2023
382,Honda,Activa 125,2014,1,"32,000 ",Delhi,"55,000",01 March 2023
383,Bajaj,Discover 125,2013,2,"30,000 ",Kolkata,"40,445",01 March 2023
384,Royal,Enfield Meteor,2021,1,"2,00,000 ",Delhi,"3,000",01 March 2023
385,Royal,Enfield Interceptor,2020,1,"2,70,000 ",Lucknow,"12,000",01 March 2023
386,KTM,200 Duke,2017,1,"1,20,000 ",Ahmedabad,"14,000",01 March 2023
387,TVS,Apache RR310,2022,1,"2,50,000 ",Kolkata,"6,500",01 March 2023
388,Hero,Maestro Standard,2016,2,"25,000 ",Delhi,"23,000",01 March 2023
389,Honda,CB Twister,2014,1,"27,500 ",Jaipur,"92,500",01 March 2023
390,Yamaha,FZ S,2020,1,"85,000 ",Ghaziabad,"14,000",01 March 2023
391,Honda,Livo Disc,2018,1,"40,000 ",City,"35,000",01 March 2023
392,Bajaj,Pulsar 220,2012,1,"55,000 ",Coimbatore,"72,000",01 March 2023
393,Yamaha,MT 15,2022,1,"1,75,000 ",Malda,"8,000",01 March 2023
394,Royal,Enfield Thunderbird,2015,1,"1,10,000 ",Coimbatore,"35,000",01 March 2023
395,Yamaha,FZ S,2020,1,"95,000 ",Kovilpatti,"25,000",01 March 2023
396,TVS,Apache RTR,2020,1,"1,10,000 ",Kolkata,"30,000",01 March 2023
397,Honda,CB Hornet,2016,1,"45,000 ",Badlapur,"55,000",01 March 2023
398,Yamaha,FZ V,2016,2,"40,000 ",Vadodara,"75,000",01 March 2023
399,Bajaj,Pulsar 150,2012,1,"40,000 ",Pune,"70,000",01 March 2023
400,Bajaj,Avenger Street,2016,1,"48,000 ",Hyderabad,"54,000",01 March 2023
401,Bajaj,Dominar 400,2018,1,"1,10,000 ",Gurgaon,"46,000",01 March 2023
402,Honda,Shine Drum,2015,1,"35,000 ",Chinchwad,"32,000",01 March 2023
403,TVS,Apache RTR,2021,1,"1,00,000 ",Delhi,"12,000",01 March 2023
404,KTM,250 Duke,2017,1,"1,90,000 ",Hubli,"12,000",01 March 2023
405,Yamaha,FZ S,2020,1,"80,000 ",Ghaziabad,"14,000",01 March 2023
406,Royal,Enfield Classic,2022,1,"2,15,000 ",Hooghly,"3,900",01 March 2023
407,Yamaha,MT 15,2021,1,"1,40,000 ",Chennai,"15,500",01 March 2023
408,Bajaj,Discover 135,2008,1,"18,000 ",Bangalore,"41,634",28 February 2023
409,Honda,Dio STD,2019,1,"70,000 ",Bangalore,"8,845",28 February 2023
410,Yamaha,YZF R15,2016,1,"60,000 ",Ajmer,"32,000",28 February 2023
411,Bajaj,Pulsar 150,2012,1,"36,000 ",Pune,"45,800",28 February 2023
412,Hero,Honda CD,2007,1,"15,000 ",Noida,"65,000",28 February 2023
413,Royal,Enfield Classic,2016,1,"1,75,000 ",Kochi,"13,000",28 February 2023
414,Honda,CBF Stunner,2015,1,"34,000 ",Gorakhpur,"14,700",28 February 2023
415,Hero,Ignitor Disc,2016,1,"45,000 ",Cuttack,"23,000",28 February 2023
416,Jawa,42 Version,2021,1,"1,85,000 ",Chennai,"6,700",28 February 2023
417,Royal,Enfield Bullet,2021,1,"1,40,000 ",Bargarh,"19,000",28 February 2023
418,Yamaha,YZF R15,2016,1,"75,000 ",Bangalore,"30,000",28 February 2023
419,Bajaj,CT 110,2021,1,"48,000 ",Delhi,"43,500",28 February 2023
